ID,位置,巻,韻目,門,字,漢呉音,唐音,異體,メモ,聲,呼,等,韻,調,数,声カナ行,韻カナ
1,,上平,東第一,乾坤,東,トウ,ツン,,,端,開,一,東,平,1,タ行,-uン
2,,上平,東第一,乾坤,虹,コウ,クン,,,匣,開,一,東,平,1,カ行,-uン
3,,上平,東第一,乾坤,凍,トウ,ツン,,,端,開,一,東,平,1,タ行,-uン
4,,上平,東第一,乾坤,潼,トウ,ツン,,,定,開,一,東,平,1,タ行,-uン
5,,上平,東第一,乾坤,蝀,トウ,ツン,,,端,開,一,東,平,1,タ行,-uン
6,,上平,東第一,乾坤,潨,ジウ,スン,,,章,開,三,東,平,1,サ行,-uン
7,,上平,東第一,乾坤,嵩,スウ,スン,,,心,開,三,東,平,1,サ行,-uン
8,,上平,東第一,乾坤,宮,キウ,キユン,,,見,開,三,東,平,1,カ行,-iユン
9,,上平,東第一,乾坤,穹,キウ,キユン,,,溪,開,三,東,平,1,カ行,-iユン
10,,上平,東第一,乾坤,風,フウ,フン,,,幫,開,三,東,平,1,ハ行,-uン
11,,上平,東第一,乾坤,空,クウ,クン,,,溪,開,一,東,平,1,カ行,-uン
12,,上平,東第一,乾坤,峒,トウ,ツン,,,定,開,一,東,平,1,タ行,-uン
13,,上平,東第一,乾坤,雺,ボウ,ムン,,,明,開,一,東,平,1,マ行,-uン
14,,上平,東第一,乾坤,𥨪,キウ,キユン,,,群,開,三,東,平,1,カ行,-iユン
15,,上平,東第一,乾坤,櫳,ロウ,ルン,,,來,開,一,東,平,1,ラ行,-uン
16,,上平,東第一,乾坤,鄷,ホウ,フン,酆,,滂,開,三,東,平,1,ハ行,-uン
17,,上平,東第一,乾坤,𩅧,シユウ,シユン,,此處有增補字在後,章,開,三,東,平,1,サ行,-iユン
18,,上平,東第一,時候,曨,ロウ,ルン,,此處有增補字在後,來,開,一,東,平,1,ラ行,-uン
19,,上平,東第一,氣形,童,ドウ,ツン,,,定,開,一,東,平,1,タ行,-uン
20,,上平,東第一,氣形,僮,トウ,ツン,,,定,開,一,東,平,1,タ行,-uン
21,,上平,東第一,氣形,蟲,チウ,シユン,,,澄,開,三,東,平,1,サ行,-iユン
22,,上平,東第一,氣形,螽,シウ,シユン,,,章,開,三,東,平,1,サ行,-iユン
23,,上平,東第一,氣形,娀,ジウ,,,,心,開,三,東,平,1,,
24,,上平,東第一,氣形,戎,ジウ,シユン,,,日,開,三,東,平,1,サ行,-iユン
25,,上平,東第一,氣形,雄,ユウ,ウン,,,云,開,三,東,平,1,アヤワ行,-uン
26,,上平,東第一,氣形,熊,ユウ,ウン,,,云,開,三,東,平,1,アヤワ行,-uン
27,,上平,東第一,氣形,馮,ヘウ,フン,,,並,開,三,東,平,1,ハ行,-uン
28,,上平,東第一,氣形,公,コウ,クン,,,見,開,一,東,平,1,カ行,-uン
29,,上平,東第一,氣形,工,コウ,クン,,,見,開,一,東,平,1,カ行,-uン
30,,上平,東第一,氣形,蚣,コウ,クン,,,見,開,一,東,平,1,カ行,-uン
31,,上平,東第一,氣形,鴻,コウ,クン,,,匣,開,一,東,平,1,カ行,-uン
32,,上平,東第一,氣形,驄,ソウ,,騘,,清,開,一,東,平,1,,
33,,上平,東第一,氣形,翁,ヲウ,ウン,,,影,開,一,東,平,1,アヤワ行,-uン
34,,上平,東第一,氣形,𩦺,モウ,ムン,,,明,開,一,東,平,1,マ行,-uン
35,,上平,東第一,氣形,种,チウ,シユン,,,澄,開,三,東,平,1,サ行,-iユン
36,,上平,東第一,氣形,眾,シユウ,シユン,衆,此處有增補字在後,章,開,三,東,平,1,サ行,-iユン
37,,上平,東第一,支體,瞳,ドウ,ツン,,,定,開,一,東,平,1,タ行,-uン
38,,上平,東第一,支體,躬,キウ,チユン,,チユン？,見,開,三,東,平,1,タ行,-iユン
39,,上平,東第一,支體,騣,ソウ,スン,,,精,開,一,東,平,1,サ行,-uン
40,,上平,東第一,支體,嚨,ロウ,ルン,,,來,開,一,東,平,1,ラ行,-uン
41,,上平,東第一,態藝,聰,ソウ,スン,聦,,清,開,一,東,平,1,サ行,-uン
42,,上平,東第一,態藝,功,コウ,クン,,,見,開,一,東,平,1,カ行,-uン
43,,上平,東第一,態藝,聾,ロウ,ルン,,,來,開,一,東,平,1,ラ行,-uン
44,,上平,東第一,態藝,𣧩,シウ,シユン,,,章,開,三,東,平,1,サ行,-iユン
45,,上平,東第一,態藝,瞢,モウ,ムン,,,明,開,三,東,平,1,マ行,-uン
46,,上平,東第一,態藝,忠,チウ,シユン,,,知,開,三,東,平,1,サ行,-iユン
47,,上平,東第一,態藝,翀,チウ,シユン,,,澄,開,三,東,平,1,サ行,-iユン
