ID,位置,巻,韻目,門,字,漢呉音,唐音,異體,メモ,聲,呼,等,韻,調,数,声カナ行,韻カナ
1,,上平,東第一,乾坤,東,トウ,ツン,,,端,開,一,東,平,1,タ行,-uン
2,,上平,東第一,乾坤,虹,コウ,クン,,,匣,開,一,東,平,1,カ行,-uン
3,,上平,東第一,乾坤,凍,トウ,ツン,,,端,開,一,東,平,1,タ行,-uン
4,,上平,東第一,乾坤,潼,トウ,ツン,,,定,開,一,東,平,1,タ行,-uン
5,,上平,東第一,乾坤,蝀,トウ,ツン,,,端,開,一,東,平,1,タ行,-uン
6,,上平,東第一,乾坤,潨,シウ,スン,,,章,開,三,東,平,1,サ行,-uン
7,,上平,東第一,乾坤,嵩,シウ,スン,,,心,開,三,東,平,1,サ行,-uン
8,,上平,東第一,乾坤,宮,キウ,クン,,,見,開,三,東,平,1,カ行,-uン
9,,上平,東第一,乾坤,穹,キウ,クン,,,溪,開,三,東,平,1,カ行,-uン
10,,上平,東第一,乾坤,風,フウ,フン,,,幫,開,三,東,平,1,ハ行,-uン
11,,上平,東第一,乾坤,空,コウ,クン,,,溪,開,一,東,平,1,カ行,-uン
12,,上平,東第一,乾坤,峒,トウ,ツン,,,定,開,一,東,平,1,タ行,-uン
13,,上平,東第一,乾坤,雺,ホウ,フン,,,明,開,一,東,平,1,ハ行,-uン
14,,上平,東第一,乾坤,𥨪,キウ,クン,,,群,開,三,東,平,1,カ行,-uン
15,,上平,東第一,乾坤,櫳,ロウ,ルン,,,來,開,一,東,平,1,ラ行,-uン
16,,上平,東第一,乾坤,鄷,ホウ,フン,酆,,滂,開,三,東,平,1,ハ行,-uン
17,,上平,東第一,乾坤,𩅧,シウ,スン,,,章,開,三,東,平,1,サ行,-uン
18,,上平,東第一,時候,曨,ロウ,ルン,,,來,開,一,東,平,1,ラ行,-uン
19,,上平,東第一,氣形,童,トウ,ツン,,,定,開,一,東,平,1,タ行,-uン
20,,上平,東第一,氣形,僮,トウ,ツン,,,定,開,一,東,平,1,タ行,-uン
21,,上平,東第一,氣形,蟲,チウ,ツン,,,澄,開,三,東,平,1,タ行,-uン
22,,上平,東第一,氣形,螽,シウ,スン,,,章,開,三,東,平,1,サ行,-uン
23,,上平,東第一,氣形,娀,シウ,スン,,,心,開,三,東,平,1,サ行,-uン
24,,上平,東第一,氣形,戎,ジウ,スン,,,日,開,三,東,平,1,サ行,-uン
25,,上平,東第一,氣形,雄,イウ,フン,,https://i.imgur.com/ChXNiC5.png,云,開,三,東,平,1,ハ行,-uン
26,,上平,東第一,氣形,熊,イウ,ウン,,,云,開,三,東,平,1,アヤワ行,-uン
27,,上平,東第一,氣形,馮,フウ,フン,,,並,開,三,東,平,1,ハ行,-uン
28,,上平,東第一,氣形,公,コウ,クン,,,見,開,一,東,平,1,カ行,-uン
29,,上平,東第一,氣形,工,コウ,クン,,,見,開,一,東,平,1,カ行,-uン
30,,上平,東第一,氣形,蚣,コウ,クン,,,見,開,一,東,平,1,カ行,-uン
31,,上平,東第一,氣形,鴻,コウ,クン,,,匣,開,一,東,平,1,カ行,-uン
32,,上平,東第一,氣形,驄,ソウ,スン,騘,,清,開,一,東,平,1,サ行,-uン
33,,上平,東第一,氣形,翁,ヲウ,ウン,,,影,開,一,東,平,1,アヤワ行,-uン
34,,上平,東第一,氣形,𩦺,ホウ,フン,,,明,開,一,東,平,1,ハ行,-uン
35,,上平,東第一,氣形,种,チウ,ツン,,,澄,開,三,東,平,1,タ行,-uン
36,,上平,東第一,氣形,眾,シウ,スン,衆,,章,開,三,東,平,1,サ行,-uン
37,,上平,東第一,支體,瞳,トウ,ツン,,,定,開,一,東,平,1,タ行,-uン
38,,上平,東第一,支體,躬,キウ,クン,,,見,開,三,東,平,1,カ行,-uン
39,,上平,東第一,支體,騣,ソウ,スン,,,精,開,一,東,平,1,サ行,-uン
40,,上平,東第一,支體,嚨,ロウ,ルン,,,來,開,一,東,平,1,ラ行,-uン
41,,上平,東第一,態藝,聰,ソウ,スン,聦,,清,開,一,東,平,1,サ行,-uン
42,,上平,東第一,態藝,功,コウ,クン,,,見,開,一,東,平,1,カ行,-uン
43,,上平,東第一,態藝,聾,ロウ,ルン,,,來,開,一,東,平,1,ラ行,-uン
44,,上平,東第一,態藝,𣧩,シウ,スン,,,章,開,三,東,平,1,サ行,-uン
45,,上平,東第一,態藝,瞢,ホウ,フン,,,明,開,三,東,平,1,ハ行,-uン
46,,上平,東第一,態藝,忠,チウ,ツン,,,知,開,三,東,平,1,タ行,-uン
47,,上平,東第一,態藝,翀,チウ,ツン,,,澄,開,三,東,平,1,タ行,-uン
